"","x"
"1","MBP"
"2","PLP1"
"3","CRYAB"
"4","IGKC"
"5","MT-CO1"
"6","FTH1"
"7","MT-ND4L"
"8","IGHG3"
"9","MOBP"
"10","SPP1"
"11","FTL"
"12","IGHG4"
"13","TMSB10"
"14","MTURN"
"15","APOE"
"16","AQP4"
"17","MT-ND1"
"18","RPL37A"
"19","S100B"
"20","SPARCL1"
"21","IGHG1"
"22","NUPR1"
"23","CNP"
"24","CLDND1"
"25","MTRNR2L8"
"26","HSPA1A"
"27","SELENOP"
"28","TUBA1A"
"29","APLP1"
"30","MTRNR2L12"
"31","PAQR6"
"32","AL078639.1"
"33","VIM"
"34","HSPA6"
"35","CALD1"
"36","MT-ND2"
"37","LUC7L3"
"38","SAMHD1"
"39","GJA1"
"40","SEC62"
"41","MT2A"
"42","DTNA"
"43","SCD"
"44","EPAS1"
"45","HSPB1"
"46","EIF5B"
"47","CPE"
"48","SPARC"
"49","IFI27"
"50","IGFBP5"
"51","IFITM3"
"52","HLA-B"
"53","A2M"
"54","CST3"
"55","RPL37"
"56","IGFBP7"
"57","GPM6A"
"58","RGS5_ENSG00000143248"
"59","SERPINH1"
"60","STMN1"
"61","DUSP1"
"62","CTGF"
"63","RPL32"
"64","NDUFA4"
"65","AHCYL1"
"66","PLEKHB1"
"67","NR4A1"
"68","BCAS1"
"69","IGLC2"
"70","HMGN5"
"71","PEA15"
"72","RPS18"
"73","ATP1A2"
"74","MTRNR2L1"
"75","AHNAK"
"76","ADIRF"
"77","CAVIN2"
"78","TP53INP2"
"79","KTN1"
"80","B2M"
"81","OPTN"
"82","TPT1"
"83","CLDN5"
"84","NUDT3"
"85","ADD3"
"86","MAP4"
"87","ZFP36L1"
"88","ITM2A"
"89","ANKRD12"
"90","ENAH"
"91","ID3"
"92","RBM25"
"93","FLT1"
"94","CEBPD"
"95","NEBL"
"96","ZC3H13"
"97","PRRC2C"
"98","TAGLN"
"99","PMP2"
"100","SLC7A11"
"101","NFIA"
"102","YIPF4"
"103","ARRDC4"
"104","TUBB2B"
"105","ATP1B1"
"106","APOD"
"107","MGST1"
"108","MYL9"
"109","RAB13"
"110","EBF1"
"111","ZCRB1"
"112","MYL6"
"113","PTGDS"
"114","RPL38"
"115","RPL31"
"116","CHIT1"
"117","CRK"
"118","SLC5A3"
"119","CWF19L2"
"120","HSPB8"
"121","ARHGAP5"
"122","SLC14A1"
"123","GOLIM4"
"124","APOC1"
"125","DCN"
"126","NTRK2"
"127","ESAM"
"128","PURA"
"129","ACTN4"
"130","PRDX6"
"131","GPM6B"
"132","TTC3"
"133","PRELP"
"134","ST13"
"135","TIMP3"
"136","SORBS1"
"137","HSPA4L"
"138","RPL24"
"139","OGFRL1"
"140","VCAN"
"141","TUBA1B"
"142","AD000090.1"
"143","NCOR1"
"144","MYH9"
"145","EZR"
"146","RPL23A"
"147","NR2F2"
"148","MT1E"
"149","METTL7A"
"150","STOM"
"151","TAF3"
"152","PNISR"
"153","CDH5"
"154","PPIG"
"155","AGT"
"156","MT-ND6"
"157","VCL"
"158","ESF1"
"159","C1orf61"
"160","MYO10"
"161","NUDT4"
"162","ZHX1"
"163","RPS6"
"164","ZEB1"
"165","DHCR24"
"166","PCAT19"
"167","ANP32B"
"168","BOD1L1"
"169","CTSD"
"170","CTNND2"
"171","TM4SF18"
"172","PTN"
"173","ANXA1"
"174","RPL41"
"175","CRIP2"
"176","BMPR2"
"177","IRS2"
"178","CD59"
"179","C9orf78"
"180","ROCK1"
"181","YWHAB"
"182","PODXL"
"183","MTSS1L"
"184","S100A6"
"185","ADAM10"
"186","KAT6B"
"187","FXYD1"
"188","TMEM47"
"189","RPS24"
"190","COBLL1"
"191","WASF3"
"192","CNTN2"
"193","BEX3"
"194","SLC3A2"
"195","RPL26"
"196","MYL12A"
"197","RASSF8"
"198","LINC00844"
"199","SLC16A1"
"200","ANXA2"
"201","AKAP9"
"202","GPBP1"
"203","CRIM1"
"204","MRO"
"205","MARCKS"
"206","NFIB"
"207","AKAP12"
"208","PALLD"
"209","ACTG1"
"210","TCF4"
"211","ABCG2"
"212","WWTR1"
"213","HNRNPU"
"214","SAT1"
"215","ACTB"
"216","DDR2"
"217","ERBIN"
"218","S100A10"
"219","CASC2"
"220","ANP32E"
"221","FOXN3"
"222","TOMM7"
"223","MYBPC1"
"224","FLNA"
"225","EIF5"
"226","CELF2"
"227","GRAMD2B"
"228","PPP1CB"
"229","ABCB1"
"230","TPM4"
"231","SYNE2"
"232","TSC22D1"
"233","NDRG2"
"234","WSB1"
"235","GLUL"
"236","ACTR2"
"237","PKP4"
"238","KLF6"
"239","SETD7"
"240","H2AFZ"
"241","KIF1C"
"242","MSX1"
"243","TAB2"
"244","DCLK1"
"245","PDLIM5"
"246","ZBTB20"
"247","FAM213A"
"248","LMO2"
"249","RPS23"
"250","MCL1"
"251","B3GAT2"
"252","SEPT4"
"253","ATRX"
"254","USP46"
"255","ATP5PF"
"256","MSI2"
"257","JADE1"
"258","BRD4"
"259","SAMD4A"
"260","MAP3K20"
"261","PTPRZ1"
"262","CAV1"
"263","ATF3"
"264","RGCC"
"265","OFD1"
"266","HAPLN2"
"267","PTP4A2"
"268","HIPK1"
"269","PLS3"
"270","DOCK9"
"271","SLC39A10"
"272","UBB"
"273","GOLGA4"
"274","NSRP1"
"275","NES"
"276","PERP"
"277","UPF2"
"278","RPS15"
"279","DSTN"
"280","CGGBP1"
"281","TRIM44"
"282","AL355075.4"
"283","TRIM56"
"284","DKK3"
"285","SEPT11"
"286","PHF14"
"287","COX4I1"
"288","HDGFL3"
"289","PPP1R12A"
"290","ACSL3"
"291","ITGB8"
"292","GNG11"
"293","ZC3HAV1"
"294","SPTAN1"
"295","ANTXR1"
"296","IFI44L"
"297","KIF3B"
"298","CAMTA1"
"299","NDUFA11"
"300","CNN3"
"301","TMEM123"
"302","CAVIN1"
"303","ABLIM1"
"304","BTF3"
"305","IFITM2"
"306","PTPRG"
"307","PPP1R3C"
"308","LMO3"
"309","TAF7"
"310","RPL36AL"
"311","ADAM17"
"312","YES1"
"313","TGM2"
"314","TXNIP"
"315","GNAS"
"316","CHORDC1"
"317","UBE3A"
"318","SLC7A1"
"319","TPST2"
"320","CLDN11"
"321","FN1"
"322","DDX42"
"323","EMP1"
"324","SYNPO2"
"325","RSRC2"
"326","ABCA2"
"327","ARF6"
"328","RHOC"
"329","PSMA7"
"330","CHL1"
"331","NSA2"
"332","NCOA1"
"333","LARP7"
"334","TCFL5"
"335","BST2"
"336","FOS"
"337","TXNL1"
"338","SYNE1"
"339","UTRN"
"340","RSF1"
"341","PRPF40A"
"342","DDAH1"
