"","x"
"PLCH2",0.0370812412976283
"PANK4",0.0148908852100006
"TNFRSF14",0.028228686108055
"TNFRSF25",0.00612453560150221
"MTHFR",0.0219821969091997
"CLCN6",0.0739928386085368
"MFN2",0.110843592840694
"HMGCL",0.0443229846749225
"FUCA1",0.0472840121008104
"RUNX3",0.0061938832168225
"SYF2",0.196296867620658
"RAVER2",0.0252052401003484
"JAK1",0.120407317823239
"AK4",0.100451533315993
"C1orf52",0.0758424876477265
"BCL10",0.0289183979309198
"DDAH1",0.37745599164527
"TGFBR3",0.0719317701500399
"EVI5",0.121512292836274
"FAM69A",0.0930325241973727
"SLC30A7",0.0459426511273115
"DPH5",0.0271302416250839
"CD58",0.0270106154157669
"PHGDH",0.298557224696209
"KCNN3",0.149181855541991
"PMVK",0.141956902005681
"SHC1",0.0333868257532869
"FLAD1",0.0355887765842618
"ADAM15",0.0739296121757812
"CASQ1",0.00638789124490418
"COPA",0.192901891709851
"VANGL2",0.0254440275552148
"CD48",0.0176845087180242
"SLAMF7",0.013330034323297
"RGS1",0.0965954491278336
"KIF21B",0.0165381164860825
"BATF3",0.00884461955932124
"NSL1",0.106247921570945
"TATDN3",0.0387961275814964
"FLVCR1",0.0232034951612064
"TRIB2",0.0247582796757553
"NCOA1",0.198643279449444
"CENPO",0.00536754503023889
"ADCY3",0.0773451193139942
"LBH",0.0121890430810022
"HAAO",0.00641756586684378
"ZFP36L2",0.293145212396613
"REL",0.0289824216832049
"PUS10",0.0130987611115079
"KIAA1841",0.0356645444282085
"C2orf74",0.135198310363239
"USP34",0.126704928150577
"ACTR2",0.444270147712259
"SPRED2",0.0325279495726654
"PLEK",0.0400934172764312
"FBXO48",0.0139804846887053
"ANAPC1",0.0315749270882495
"MERTK",0.0504889886365001
"TMEM87B",0.029189188938056
"DARS",0.21477499265508
"CXCR4",0.0722648430702246
"RND3",0.0150471395534327
"RBM43",0.0112416041378253
"RAPH1",0.0283237665997359
"SP110",0.0342854953442148
"SP140",0.0054059573788597
"SATB1",0.0720031314770783
"KCNH8",0.0428563015467953
"CMC1",0.0635025278026295
"GLB1",0.0443866281434493
"FOXP1",0.119696174539644
"SENP7",0.0670733257550235
"PCNP",0.392215738268623
"NFKBIZ",0.0110057940542454
"CBLB",0.0223223861278984
"ARHGAP31",0.0377147063769369
"TMEM39A",0.0210942424523827
"POGLUT1",0.0252938322886658
"HCLS1",0.0699534961931595
"GOLGB1",0.154758975708053
"IQCB1",0.0304779274983687
"EAF2",0.0106528294836259
"SLC15A2",0.0334029099052503
"ZBTB38",0.162729137366503
"RASA2",0.032866919603576
"MYNN",0.0291460059936147
"LRRC34",0.0249775046963909
"BCL6",0.121530431671171
"LPP",0.112180786696985
"PTPN13",0.109414966628338
"AFF1",0.0938997186967393
"NFKB1",0.0621463272507141
"MANBA",0.041095855886997
"UBE2D3",0.460987348811954
"CISD2",0.124355897730723
"SLC9B2",0.0243255197007451
"BDH2",0.0922704188142885
"TET2",0.0516062748453388
"PPA2",0.0813020136585902
"LEF1",0.0116329162568284
"MARCH1",0.0965122309591637
"IL7R",0.00820311315119343
"CAPSL",0.00961390069893035
"DAB2",0.0837058421365725
"PTGER4",0.011234113973992
"IL6ST",0.551424378253436
"TNFAIP8",0.00992794401892949
"HSD17B4",0.239502995311618
"TCF7",0.0100520664923425
"CDKN2AIPNL",0.0302823166219415
"JADE2",0.0739911594094598
"CAMLG",0.142843364251247
"NDFIP1",0.428967823770104
"NSD1",0.0507207525597029
"MXD3",0.00568619745646067
"LMAN2",0.104850979051455
"RGS14",0.0174909468162557
"RREB1",0.0210029712350689
"CD83",0.0366442594936998
"JARID2",0.0469130279575896
"ATXN1",0.114706931831825
"KCTD20",0.0637373386347124
"STK38",0.0160956876793094
"BACH2",0.0169855545380421
"CEP85L",0.032037702043979
"MCM9",0.0139646449741373
"ASF1A",0.08748811993098
"FAM184A",0.0414912278859718
"L3MBTL3",0.0127944967060247
"ALDH8A1",0.00599814302619898
