"","x"
"1","IGLC2"
"2","IGHG3"
"3","IGHG4"
"4","IGHG1"
"5","MBP"
"6","SPP1"
"7","IGKC"
"8","PLP1"
"9","CLU"
"10","AL078639.1"
"11","CNP"
"12","MALAT1"
"13","MOBP"
"14","JCHAIN"
"15","IGLC3"
"16","AQP4"
"17","CPE"
"18","GPNMB"
"19","CLDND1"
"20","GJA1"
"21","PTGDS"
"22","SPARCL1"
"23","VIM"
"24","CRYAB"
"25","APLP1"
"26","APOC1"
"27","CST3"
"28","CLDN11"
"29","S100B"
"30","APOE"
"31","TUBA1A"
"32","AGT"
"33","HLA-DRA"
"34","HLA-B"
"35","DCN"
"36","LTF"
"37","CD74"
"38","ARHGAP5"
"39","TF"
"40","CD81"
"41","MT3"
"42","APOD"
"43","CHIT1"
"44","A2M"
"45","FTL"
"46","AQP1"
"47","IGFBP7"
"48","RPS8"
"49","HLA-DRB1"
"50","EIF5B"
"51","GPM6A"
"52","MTURN"
"53","EDIL3"
"54","LGMN"
"55","PSAP"
"56","PMP2"
"57","ACTG1"
"58","PCDH9"
"59","ERMN"
"60","MARCKSL1"
"61","ANKRD12"
"62","GFAP"
"63","SCD"
"64","LYZ"
"65","MAN1A2"
"66","PPIG"
"67","SEC62"
"68","QDPR"
"69","TMEM144"
"70","TAGLN"
"71","MT2A"
"72","ZBTB20"
"73","GAPDH"
"74","VCAN"
"75","ITM2C"
"76","ACTA2"
"77","CTSB"
"78","PABPC1"
"79","ZCRB1"
"80","MAOB"
"81","PIP4K2A"
"82","ERBIN"
"83","LGALS3"
"84","BPTF"
"85","DPYSL2"
"86","EFEMP1"
"87","LARP7"
"88","SCD5"
"89","RNASE1"
"90","MAG"
"91","TIMP3"
"92","MT-ATP8"
"93","CYP1B1"
"94","MYL9"
"95","MS4A6A"
"96","CHI3L1"
"97","BCAS1"
"98","GPRC5B"
"99","RGS5_ENSG00000143248"
"100","AHNAK"
"101","NPY"
"102","CLDN5"
"103","MPP6"
"104","CCDC7"
"105","PPP1R14A"
"106","AEBP1"
"107","ZEB1"
"108","MAP4K4"
"109","COL1A2"
"110","PURA"
"111","RPL34"
"112","MTRNR2L12"
"113","CCL5"
"114","HIPK2"
"115","ITM2A"
"116","USP46"
"117","PTPRZ1"
"118","RPL9"
"119","HMGN5"
"120","TNRC6B"
"121","SYNPO2"
"122","ZHX1"
"123","NSRP1"
"124","C3"
"125","CCDC173"
"126","ANKRD28"
"127","RPL13"
"128","FN1"
"129","RSF1"
"130","STMN1"
"131","MT-ND1"
"132","RPS3"
"133","WDR78"
"134","MT-ND4L"
"135","CP"
"136","SEPT4"
"137","HLA-A"
"138","N4BP2L2"
"139","GOLGA4"
"140","ASH1L"
"141","SPX"
"142","DEK"
"143","CCDC91"
"144","CXCL12"
"145","HOOK3"
"146","ATP1B1"
"147","FAM107A"
"148","S100A10"
"149","EPAS1"
"150","AMER2"
"151","EIF3A"
"152","CD14"
"153","KCTD12"
"154","ESF1"
"155","SMARCA5"
"156","AKAP9"
"157","ZC3H13"
"158","ATRX"
"159","PREX2"
"160","S100A6"
"161","ZC3H6"
"162","RPL31"
"163","ANP32E"
"164","AKT3"
"165","ROCK1"
"166","B2M"
"167","NIPBL"
"168","ENAH"
"169","TNR"
"170","SLC14A1"
"171","MGST1"
"172","LRRC58"
"173","SOD2_ENSG00000112096"
"174","PNN"
"175","NTRK2"
"176","ZNF91"
"177","DAB2"
"178","ENPP2"
"179","BASP1"
"180","TROVE2"
"181","TIMP1"
"182","ARRDC3"
"183","CHD9"
"184","ARID4B"
"185","UTRN"
"186","LMO4"
"187","RBM25"
"188","SHTN1"
"189","APC"
"190","NEMF"
"191","CCDC88A"
"192","ZEB2"
"193","CTSS"
"194","CCSER2"
"195","LINC01094"
"196","LILRB5"
"197","PTMA"
"198","FMR1"
"199","ZBTB7A"
"200","FRZB"
"201","ZC3H15"
"202","PREPL"
"203","MRC1"
"204","NEK7"
"205","RPS2"
"206","STAG2"
"207","GOLGB1"
"208","CCDC82"
"209","CD44"
"210","CCL19"
"211","CHL1"
"212","ALDH1A1"
"213","KMT2E"
"214","CRBN"
"215","FRA10AC1"
"216","ANKIB1"
"217","RB1CC1"
"218","SLK"
"219","PKIA"
"220","SLC40A1"
"221","PNISR"
"222","AFTPH"
"223","TMEM47"
"224","SLFN11"
"225","IGHG2"
"226","ANP32A"
"227","KLF6"
"228","SPOCK3"
"229","WASF3"
"230","PHIP"
"231","IDS"
"232","TAX1BP1"
"233","RBPJ"
"234","C11orf96"
"235","CTSD"
"236","ENKUR"
"237","PPCS"
"238","SGK3"
"239","MT-ND2"
"240","BDP1"
"241","TAB2"
"242","LCP1"
"243","CCAR1"
"244","NEBL"
"245","WBP11"
"246","MINDY2"
"247","ASPH"
"248","NSA2"
"249","FYB1"
"250","SENP6"
"251","CTNND2"
"252","TRBC2"
"253","SERINC3"
"254","MGP"
"255","PSMC6"
"256","GPR34"
"257","CBX5"
"258","PRPF38B"
"259","SMARCC1"
"260","DARS"
"261","DSTN"
"262","SELENOP"
"263","KMT2A"
"264","THAP12"
"265","MAN1A1"
"266","KTN1"
"267","GABRG1"
"268","EMP1"
"269","AK9"
"270","METTL9"
"271","GRAMD2B"
"272","CWF19L2"
"273","WLS"
"274","TUBB2B"
"275","TTC3"
"276","PCGF5"
"277","IGFBP4"
"278","SCAF11"
"279","BOD1L1"
"280","CYBB"
"281","TRAK2"
"282","MRO"
"283","EMILIN3"
"284","FABP5"
"285","EMX2"
"286","HIPK3"
"287","GOLIM4"
"288","SCAPER"
"289","EEA1"
"290","FBLN1"
"291","TCF4"
"292","RHOBTB3"
"293","RAPGEF5"
"294","KMT2C"
"295","PLEKHA5"
"296","UBXN4"
