"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DPP10",0,2.45492776754524,0.954,0.402,0,"WM_astrocytes","DPP10"
"GLIS3",0,1.55467660274087,0.749,0.114,0,"WM_astrocytes","GLIS3"
"NEAT1",0,1.54754983564917,0.877,0.416,0,"WM_astrocytes","NEAT1"
"DTNA",0,1.49352372106599,0.856,0.3,0,"WM_astrocytes","DTNA"
"GFAP",0,1.40998600500316,0.692,0.074,0,"WM_astrocytes","GFAP"
"SORBS1",0,1.38236683219064,0.784,0.229,0,"WM_astrocytes","SORBS1"
"ADGRV1",0,1.36788459267898,0.744,0.104,0,"WM_astrocytes","ADGRV1"
"PITPNC1",0,1.2352489457924,0.767,0.181,0,"WM_astrocytes","PITPNC1"
"CTNND2",0,1.1758845216741,0.895,0.581,0,"WM_astrocytes","CTNND2"
"PRKG1",0,1.15747788823247,0.728,0.205,0,"WM_astrocytes","PRKG1"
"ADCY2",0,1.11983147068957,0.698,0.202,0,"WM_astrocytes","ADCY2"
"MIR99AHG",0,1.08982959952805,0.799,0.451,0,"WM_astrocytes","MIR99AHG"
"NEBL",0,1.07869820104028,0.716,0.233,0,"WM_astrocytes","NEBL"
"GPM6A",0,1.07059501565397,0.839,0.43,0,"WM_astrocytes","GPM6A"
"NRG3",0,1.06009471991536,0.949,0.561,0,"WM_astrocytes","NRG3"
"NPAS3",0,1.00803132090523,0.91,0.602,0,"WM_astrocytes","NPAS3"
"CTNNA2",0,0.989509316075722,0.787,0.42,0,"WM_astrocytes","CTNNA2"
"DCLK2",0,0.946167480606236,0.589,0.147,0,"WM_astrocytes","DCLK2"
"RFX4",0,0.938805737059749,0.553,0.063,0,"WM_astrocytes","RFX4"
"CD44",0,0.917211466439617,0.46,0.015,0,"WM_astrocytes","CD44"
"PARD3",0,0.910413467837692,0.628,0.153,0,"WM_astrocytes","PARD3"
"MACF1",0,0.909305831383172,0.762,0.38,0,"WM_astrocytes","MACF1"
"FMN2",0,0.894864160365036,0.684,0.247,0,"WM_astrocytes","FMN2"
"LINC01088",0,0.880239417350991,0.346,0.016,0,"WM_astrocytes","LINC01088"
"LSAMP",0,0.86589553418726,0.965,0.753,0,"WM_astrocytes","LSAMP"
"AQP4",0,0.843281624146562,0.518,0.061,0,"WM_astrocytes","AQP4"
"RYR3",0,0.83602673857204,0.572,0.127,0,"WM_astrocytes","RYR3"
"CLU",0,0.834560445240508,0.638,0.249,0,"WM_astrocytes","CLU"
"LINC00609",0,0.827476416940184,0.558,0.189,0,"WM_astrocytes","LINC00609"
"RNF219-AS1",0,0.823248678130934,0.483,0.073,0,"WM_astrocytes","RNF219-AS1"
"MSI2",0,0.82041400892642,0.632,0.194,0,"WM_astrocytes","MSI2"
"MT2A",0,0.782005048591048,0.413,0.098,0,"WM_astrocytes","MT2A"
"TNC",0,0.778927850264267,0.385,0.009,0,"WM_astrocytes","TNC"
"ARHGEF4",0,0.772618610620638,0.509,0.091,0,"WM_astrocytes","ARHGEF4"
"PRKCA",0,0.771627231301111,0.657,0.282,0,"WM_astrocytes","PRKCA"
"ABLIM1",0,0.759876041239666,0.548,0.145,0,"WM_astrocytes","ABLIM1"
"PARD3B",0,0.75549268406913,0.538,0.128,0,"WM_astrocytes","PARD3B"
"MAML2",0,0.743606524803263,0.63,0.233,0,"WM_astrocytes","MAML2"
"AQP4-AS1",0,0.742419081386165,0.43,0.108,0,"WM_astrocytes","AQP4-AS1"
"NFIA",0,0.736749227572631,0.7,0.352,0,"WM_astrocytes","NFIA"
"NAV2",0,0.726372999214565,0.622,0.271,0,"WM_astrocytes","NAV2"
"AHCYL1",0,0.720573270966451,0.5,0.116,0,"WM_astrocytes","AHCYL1"
"GPC5",0,0.717555120861058,0.569,0.193,0,"WM_astrocytes","GPC5"
"SLC14A1",0,0.71500144644453,0.365,0.038,0,"WM_astrocytes","SLC14A1"
"AC073941.1",0,0.704842408224672,0.369,0.009,0,"WM_astrocytes","AC073941.1"
"SOX5",0,0.70142802047902,0.684,0.294,0,"WM_astrocytes","SOX5"
"FAM189A2",0,0.699873465452908,0.411,0.033,0,"WM_astrocytes","FAM189A2"
"ITPKB",0,0.68696523064841,0.484,0.098,0,"WM_astrocytes","ITPKB"
"SLC1A3",0,0.682633460192798,0.634,0.229,0,"WM_astrocytes","SLC1A3"
"FYN",0,0.679734269312391,0.565,0.209,0,"WM_astrocytes","FYN"
"NKAIN3",0,0.660895807491006,0.503,0.145,0,"WM_astrocytes","NKAIN3"
"MIR4300HG",0,0.656529075981622,0.347,0.054,0,"WM_astrocytes","MIR4300HG"
"RORA",0,0.650380845848595,0.754,0.386,0,"WM_astrocytes","RORA"
"GRAMD2B",0,0.648759970343007,0.461,0.112,0,"WM_astrocytes","GRAMD2B"
"TRPS1",0,0.627414181213383,0.549,0.212,0,"WM_astrocytes","TRPS1"
"SLC1A2",0,0.614602607209999,0.568,0.157,0,"WM_astrocytes","SLC1A2"
"BMPR1B",0,0.607662357998727,0.433,0.068,0,"WM_astrocytes","BMPR1B"
"TRPM3",0,0.585404813714272,0.464,0.15,0,"WM_astrocytes","TRPM3"
"MGST1",0,0.575015186906612,0.374,0.058,0,"WM_astrocytes","MGST1"
"WDR49",0,0.567971935507422,0.329,0.011,0,"WM_astrocytes","WDR49"
"SNED1",0,0.561635204767379,0.363,0.078,0,"WM_astrocytes","SNED1"
"ZNRF3",0,0.558806920781147,0.383,0.094,0,"WM_astrocytes","ZNRF3"
"LRIG1",0,0.554749536755424,0.393,0.078,0,"WM_astrocytes","LRIG1"
"RNF19A",0,0.554564074372751,0.391,0.098,0,"WM_astrocytes","RNF19A"
"ZFP36L1",0,0.548724933721371,0.383,0.064,0,"WM_astrocytes","ZFP36L1"
"MARCH3",0,0.534483233134063,0.333,0.049,0,"WM_astrocytes","MARCH3"
"SLC7A11",0,0.533570287154038,0.355,0.05,0,"WM_astrocytes","SLC7A11"
"HIF3A",0,0.531038333183409,0.414,0.088,0,"WM_astrocytes","HIF3A"
"AC002429.2",0,0.524508866541599,0.324,0.06,0,"WM_astrocytes","AC002429.2"
"KCNN3",0,0.519350613940924,0.356,0.049,0,"WM_astrocytes","KCNN3"
"MAOB",0,0.517910921546598,0.283,0.043,0,"WM_astrocytes","MAOB"
"DOCK7",0,0.514260278695044,0.408,0.111,0,"WM_astrocytes","DOCK7"
"TPD52L1",0,0.495840427207226,0.358,0.066,0,"WM_astrocytes","TPD52L1"
"IGFBP7",0,0.490480915471427,0.308,0.036,0,"WM_astrocytes","IGFBP7"
"EFEMP1",0,0.485323248746906,0.27,0.033,0,"WM_astrocytes","EFEMP1"
"STON2",0,0.470749297695654,0.344,0.049,0,"WM_astrocytes","STON2"
"ANGPTL4",0,0.466725602848817,0.242,0.025,0,"WM_astrocytes","ANGPTL4"
"PALLD",0,0.457552730003933,0.333,0.082,0,"WM_astrocytes","PALLD"
"BCL6",0,0.44712346604975,0.323,0.067,0,"WM_astrocytes","BCL6"
"COLEC12",0,0.43533071213007,0.277,0.042,0,"WM_astrocytes","COLEC12"
"CNTNAP3B",0,0.430933575287608,0.329,0.087,0,"WM_astrocytes","CNTNAP3B"
"ANGPT1",0,0.427246711868086,0.26,0.019,0,"WM_astrocytes","ANGPT1"
"MAPK4",0,0.424470183529091,0.308,0.078,0,"WM_astrocytes","MAPK4"
"ATP1A2",0,0.421919562343126,0.355,0.074,0,"WM_astrocytes","ATP1A2"
"PLCE1",0,0.421111170048429,0.289,0.043,0,"WM_astrocytes","PLCE1"
"CACHD1",0,0.413690316779776,0.324,0.064,0,"WM_astrocytes","CACHD1"
"SLC4A4",0,0.411950983624587,0.352,0.094,0,"WM_astrocytes","SLC4A4"
"GJA1",0,0.407685673625402,0.303,0.053,0,"WM_astrocytes","GJA1"
"AC027117.2",0,0.399825106313474,0.291,0.053,0,"WM_astrocytes","AC027117.2"
"RGMA",0,0.397875899984958,0.274,0.034,0,"WM_astrocytes","RGMA"
"WWC1",0,0.396335740593065,0.284,0.05,0,"WM_astrocytes","WWC1"
"RANBP3L",0,0.39587405857336,0.288,0.051,0,"WM_astrocytes","RANBP3L"
"CDHR3",0,0.391262379805967,0.29,0.063,0,"WM_astrocytes","CDHR3"
"ADCY8",0,0.387977372732394,0.304,0.074,0,"WM_astrocytes","ADCY8"
"ITGB4",0,0.381618613225677,0.266,0.025,0,"WM_astrocytes","ITGB4"
"SPON1",0,0.374172436774747,0.268,0.052,0,"WM_astrocytes","SPON1"
"VCAN",0,0.370283357751144,0.355,0.079,0,"WM_astrocytes","VCAN"
"AQP1",0,0.368482986301909,0.216,0.009,0,"WM_astrocytes","AQP1"
"ANKFN1",0,0.365935460429966,0.268,0.046,0,"WM_astrocytes","ANKFN1"
"FAM107A",0,0.361108805577156,0.26,0.045,0,"WM_astrocytes","FAM107A"
