"","x"
"1","IGKC"
"2","IGLC2"
"3","IGHG1"
"4","MBP"
"5","PLP1"
"6","IGLC3"
"7","IGHG3"
"8","SPP1"
"9","MOBP"
"10","CNP"
"11","JCHAIN"
"12","CLU"
"13","CLDND1"
"14","APOE"
"15","GJA1"
"16","TUBA1A"
"17","LTF"
"18","VIM"
"19","IGHGP"
"20","AQP4"
"21","HLA-DRA"
"22","HLA-B"
"23","AL078639.1"
"24","SPARCL1"
"25","CD74"
"26","IGHA1"
"27","CRYAB"
"28","TF"
"29","SSR4"
"30","APLP1"
"31","B2M"
"32","AQP1"
"33","MT-ATP8"
"34","ERMN"
"35","AGT"
"36","IGHM"
"37","SCD"
"38","CLDN11"
"39","MAP1B"
"40","CST3"
"41","BCAS1"
"42","GFAP"
"43","PSAP"
"44","MT-ND4L"
"45","PTGDS"
"46","DST"
"47","HBB"
"48","CPE"
"49","MT-ND2"
"50","DCN"
"51","EDIL3"
"52","APOD"
"53","HIPK2"
"54","NTRK2"
"55","S100A10"
"56","CHI3L1"
"57","ACTB"
"58","MAG"
"59","MARCKSL1"
"60","C3"
"61","MTRNR2L12"
"62","A2M"
"63","EIF5B"
"64","CNTN2"
"65","PPP1R14A"
"66","ARHGAP5"
"67","APOC1"
"68","RPS18"
"69","PLEKHB1"
"70","RPL39"
"71","STMN1"
"72","IGFBP7"
"73","S100B"
"74","ZEB2"
"75","ANKRD12"
"76","PCDH9"
"77","MTURN"
"78","NPY"
"79","ITM2C"
"80","IGLC7"
"81","NEAT1"
"82","HLA-DRB1"
"83","TMSB10"
"84","FAM107A"
"85","OGFRL1"
"86","RPL35A"
"87","DPYSL2"
"88","HLA-DPA1"
"89","TP53INP2"
"90","S100A6"
"91","PMP2"
"92","SEPT4"
"93","QDPR"
"94","TMEM144"
"95","CCDC88A"
"96","CD24"
"97","SPARC"
"98","KIF5B"
"99","FOS"
"100","CYP1B1"
"101","GOLGA4"
"102","RTN4"
"103","RAPGEF5"
"104","RPS28"
"105","ZCRB1"
"106","SELENOP"
"107","CARNS1"
"108","ARRDC4"
"109","OLR1"
"110","ANLN"
"111","ATRX"
"112","OLIG1"
"113","ZFP36L1"
"114","APC"
"115","PURA"
"116","NUDT3"
"117","EFEMP1"
"118","FABP5"
"119","MAFB"
"120","GPM6A"
