"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"RPL27A";8,78841126713987e-05;0,698363620498555;1;1;0,20547305542573;"1";"RPL27A"
"RPS12";0,000162191593078645;0,281940992609826;1;1;0,379203944617871;"1";"RPS12"
"APOC1";0,000363268961291388;0,489485718236626;1;1;0,849322831499265;"1";"APOC1"
"GPNMB";0,000400855952567304;0,563898999955296;1;1;0,937201217102356;"1";"GPNMB"
"RPS13";0,000452173981274926;0,326515189764883;1;1;1;"1";"RPS13"
"VIM";0,000549278216437648;0,773327484785398;1;1;1;"1";"VIM"
"MBP";0,000549278216437648;-1,04852146310394;0,846;1;1;"1";"MBP"
"RPL31";0,000611504407073257;0,304705522653324;1;1;1;"1";"RPL31"
"MAPKBP1";0,000667409072519864;0,249362826238273;1;1;1;"1";"MAPKBP1"
"RPS16";0,00076420329445564;0,402353407405468;1;1;1;"1";"RPS16"
"RPS18";0,000807118610622591;0,341405876324762;1;1;1;"1";"RPS18"
"RPL15";0,000844176340923461;0,356006855653477;1;1;1;"1";"RPL15"
"RPS4X";0,000941596070787998;0,345352664720694;1;1;1;"1";"RPS4X"
"RPS24";0,0012583657555693;0,298526129744015;1;1;1;"1";"RPS24"
"SYT11";0,00137301173503875;-1,29064922259233;0,538;1;1;"1";"SYT11"
"RPL23";0,00141941098551713;0,280911443661197;1;1;1;"1";"RPL23"
"RPL36A";0,00142625422840992;0,319716880336355;1;1;1;"1";"RPL36A"
"RPL19";0,00157611620364364;0,38008667278079;1;1;1;"1";"RPL19"
"TSPAN14";0,00165114986610361;-0,955196167718621;0,538;1;1;"1";"TSPAN14"
"RPS25";0,00172022538201072;0,264921272882994;1;1;1;"1";"RPS25"
"DERL1";0,00188414802752348;-0,903522804120912;0,692;1;1;"1";"DERL1"
"CNTN2";0,00192034108397002;-1,44207432869997;0,308;0,818;1;"1";"CNTN2"
"ADAM15";0,0021074973723305;0,218597603559868;1;1;1;"1";"ADAM15"
"FCER1G";0,00215159353870779;0,609054541436423;1;1;1;"1";"FCER1G"
"SMIM4";0,00222117053204109;-1,01005781931025;0,462;1;1;"1";"SMIM4"
"LRRC8A";0,0024556561445113;-1,10259084464449;0,385;1;1;"1";"LRRC8A"
"PFDN5";0,00246044557647794;0,642635047503497;1;1;1;"1";"PFDN5"
"MAL";0,00252370269402122;-0,845544871030444;0,615;1;1;"1";"MAL"
"AK5";0,00253286235451777;-1,72371305245672;0,385;0,909;1;"1";"AK5"
"GPX1";0,00254487886552593;0,42892648919413;1;1;1;"1";"GPX1"
"RPS6";0,00256149806327698;0,24605494835069;1;1;1;"1";"RPS6"
"RPS8";0,00279951871562902;0,292850456986169;1;1;1;"1";"RPS8"
"GABRB3";0,00286298474649191;-1,5012741787763;0,385;0,909;1;"1";"GABRB3"
"TNFRSF17";0,0029317362501179;-0,98299183191558;0,462;1;1;"1";"TNFRSF17"
"CD163";0,00339520397441014;0,838786159055429;1;0,818;1;"1";"CD163"
"RPL6";0,00363481271067122;0,453971296657817;1;1;1;"1";"RPL6"
"EEF1G";0,003783251005645;0,593359811775046;1;1;1;"1";"EEF1G"
"MTURN";0,0038415043743355;-1,04816754899721;0,615;0,909;1;"1";"MTURN"
"OLFML2B";0,00385806612929192;-0,977591544802173;0,615;0,818;1;"1";"OLFML2B"
"FAU";0,00391610421938648;0,491051455562149;1;1;1;"1";"FAU"
"EEF1B2";0,00401149081162811;0,626314238292538;1;0,909;1;"1";"EEF1B2"
"RPLP1";0,00406774777695224;0,252013764026092;1;1;1;"1";"RPLP1"
"RPS27";0,00408390441733487;0,283605405007684;1;1;1;"1";"RPS27"
"RPL36AL";0,00448872332610859;0,58837158255222;1;1;1;"1";"RPL36AL"
"PGAP4";0,00448992294789618;-1,10259084464449;0,462;0,909;1;"1";"PGAP4"
"RPL37A";0,00449212077845037;0,23714848237488;1;1;1;"1";"RPL37A"
"TMSB4X";0,00451831475410731;0,472932640724552;1;1;1;"1";"TMSB4X"
"PTBP1";0,00452706533939692;0,0607307198513656;1;1;1;"1";"PTBP1"
"CSN2";0,00455374851777778;-1,07301327997838;0,308;1;1;"1";"CSN2"
"RPS19";0,00467770314759524;0,509964967888349;1;1;1;"1";"RPS19"
"RPL39";0,00490844397684947;0,384771929983016;1;1;1;"1";"RPL39"
"RPS14";0,00491780384162489;0,346817013004012;1;1;1;"1";"RPS14"
"FTH1";0,00492717371861287;0,224274511797057;1;1;1;"1";"FTH1"
"GPR52";0,00501632238751587;-1,10259084464449;0,308;0,909;1;"1";"GPR52"
"RSL24D1";0,00513227217991636;0,5911095547494;1;0,909;1;"1";"RSL24D1"
"GOLGA5";0,00523057913748044;-0,963023507795752;0,538;1;1;"1";"GOLGA5"
"CDK5RAP3";0,00539440497656871;-0,885939340686414;0,462;1;1;"1";"CDK5RAP3"
"COL20A1";0,00539717418910712;-1,03807448871538;0,462;0,909;1;"1";"COL20A1"
"MZT2B";0,0054603935456039;-0,790854679330552;0,769;1;1;"1";"MZT2B"
"CLDND1";0,00548155702869317;-0,960892135117992;0,538;1;1;"1";"CLDND1"
"YBX1";0,00564172192261212;0,514029358825877;1;1;1;"1";"YBX1"
"PAAF1";0,00584276430813732;-1,27490864791481;0,385;0,818;1;"1";"PAAF1"
"LRAT";0,00597809959663616;-0,903384608811074;0,538;0,909;1;"1";"LRAT"
"PGLYRP4";0,00597809959663616;-1,01212667923441;0,462;1;1;"1";"PGLYRP4"
"ADCY3";0,00603498695745316;-1,11474522676514;0,308;0,909;1;"1";"ADCY3"
"C4orf46";0,00604762335977646;-0,824127296689028;0,615;1;1;"1";"C4orf46"
"DEFB110";0,00609760257517046;-0,915088168664597;0,538;1;1;"1";"DEFB110"
"RPL14";0,00621655234347384;0,377747869165022;1;1;1;"1";"RPL14"
"MARCKSL1";0,00628876112052209;-1,12224376682697;0,538;0,909;1;"1";"MARCKSL1"
"RPL22";0,006296246575166;0,425586840713018;1;1;1;"1";"RPL22"
"RPL12";0,00635350580053319;0,318870942206854;1;1;1;"1";"RPL12"
"HLA-B";0,0063995138373839;0,415916804933813;1;1;1;"1";"HLA-B"
"RPS17";0,00643413682192211;0,277044404894991;1;1;1;"1";"RPS17"
"RPLP2";0,00644570008234038;0,208020713903899;1;1;1;"1";"RPLP2"
"LYZ";0,00647892146298102;0,617537443500575;1;1;1;"1";"LYZ"
"ZC2HC1A";0,00649939557893598;-1,04136642772807;0,385;0,909;1;"1";"ZC2HC1A"
"FOXO3";0,00660063303082631;-0,803451965224419;0,615;1;1;"1";"FOXO3"
"DPH6";0,00695394511427394;-1,06539890998425;0,385;0,909;1;"1";"DPH6"
"RPL5";0,00700944716365096;0,328809537747925;1;1;1;"1";"RPL5"
"BTF3";0,00708683899923517;0,518548738361836;1;0,909;1;"1";"BTF3"
"TMPO";0,00722661966952846;-1,05422097154549;0,538;0,909;1;"1";"TMPO"
"CCDC106";0,00750479841159898;-0,922946891030607;0,615;0,909;1;"1";"CCDC106"
"PURB";0,00777912220027858;-0,915088168664597;0,462;1;1;"1";"PURB"
"FAM177A1";0,00784896275535697;-0,864136312969797;0,538;1;1;"1";"FAM177A1"
"CLCN2";0,00800552754855243;-0,885939340686415;0,538;0,909;1;"1";"CLCN2"
"CLEC4C";0,00804618604587259;-0,947713321027789;0,462;1;1;"1";"CLEC4C"
"RPL24";0,00814716490535233;0,402087706967989;1;1;1;"1";"RPL24"
"RPL21";0,00825920539345132;0,329202177876625;1;1;1;"1";"RPL21"
"RPS21";0,00830142192814679;0,296167187016972;1;1;1;"1";"RPS21"
"CD63";0,00841911091144055;0,299379552489223;1;1;1;"1";"CD63"
"GNB3";0,00850488626781121;-1,10667974929144;0,462;0,909;1;"1";"GNB3"
"NIPAL3";0,00860960312158577;-1,07062936293252;0,462;0,818;1;"1";"NIPAL3"
"HLA-A";0,0086970659089588;0,570583338852687;1;0,909;1;"1";"HLA-A"
"APOE";0,0088006197876923;0,504153815733716;1;1;1;"1";"APOE"
"CSGALNACT2";0,00896550029216703;-0,92011517135338;0,538;0,909;1;"1";"CSGALNACT2"
"GKAP1";0,00913144652535839;-1,15600022145063;0,385;0,727;1;"1";"GKAP1"
"CARD9";0,00925630477896791;-0,873833173979101;0,462;0,909;1;"1";"CARD9"
"SLC4A3";0,0093215558247307;-0,970324041476414;0,462;0,909;1;"1";"SLC4A3"
"ASB10";0,0093701144948295;-0,989266369192998;0,385;0,909;1;"1";"ASB10"
"DSC2";0,00940343946694427;-1,03133260335835;0,385;0,909;1;"1";"DSC2"
"SSR3";0,00943427552076513;-0,861842251545243;0,538;1;1;"1";"SSR3"
"RPL41";0,00954936179538807;0,268411061237333;1;1;1;"1";"RPL41"
"IFI30";0,00958099303924226;0,62993226018027;1;0,818;1;"1";"IFI30"
"DDX54";0,00996961446783341;-1,06133584995899;0,385;0,818;1;"1";"DDX54"
"ASB2";0,00200916001930031;1,25668059089497;1;0,526;1;"3";"ASB2"
"NIPAL3.1";0,00208116609080755;1,32215035888527;1;0,526;1;"3";"NIPAL3"
"HLA-DMB";0,00317263215643554;-0,963706616416188;0,8;1;1;"3";"HLA-DMB"
"CARD9.1";0,00420166647662529;1,00741298842652;1;0,579;1;"3";"CARD9"
"PRPF38B";0,00420166647662529;0,851585587840508;1;0,789;1;"3";"PRPF38B"
"SERGEF";0,0043080093244567;0,848234705142677;1;0,789;1;"3";"SERGEF"
"DCST1";0,00467350219751296;1,19404760276437;1;0,579;1;"3";"DCST1"
"AK5.1";0,00502665905992519;1,90629309669763;1;0,526;1;"3";"AK5"
"DDX54.1";0,00513950782033932;1,23118117064431;1;0,474;1;"3";"DDX54"
"LRP1";0,00550049079099436;0,727069595313411;1;0,842;1;"3";"LRP1"
"LNPK";0,00577662080209232;0,95190688337534;1;0,684;1;"3";"LNPK"
"ADCY3.1";0,00818364112559907;1,26218108454988;1;0,474;1;"3";"ADCY3"
"RALGDS";0,00824673608940721;1,07197800693197;1;0,684;1;"3";"RALGDS"
"AMFR";0,00871529943590886;1,23118117064431;1;0,474;1;"3";"AMFR"
"ERICH2";0,00886924088555865;0,943971583380333;1;0,579;1;"3";"ERICH2"
"PAIP2";0,00897780534500934;1,030938700652;1;0,579;1;"3";"PAIP2"
"ABCA13";0,00897780534500934;0,987972280322673;1;0,632;1;"3";"ABCA13"
"IFITM10";0,00904013917753432;1,02262895808586;1;0,579;1;"3";"IFITM10"
"CEBPG";0,00912410684313543;0,712096618363906;1;0,842;1;"3";"CEBPG"
"ARHGAP15";0,00937977816668509;0,985341134763402;1;0,526;1;"3";"ARHGAP15"
"CCNC";0,00987662575992161;1,02235733701136;1;0,526;1;"3";"CCNC"
"RPL26";0,00210452568216385;-0,564863887516118;1;1;1;"4";"RPL26"
"RPL13";0,00212363894599994;-1,18654621039215;1;1;1;"4";"RPL13"
"RPS3A";0,00214768273014158;-0,621400068401278;1;1;1;"4";"RPS3A"
"C1QB";0,00214768273014158;-0,948364851797924;1;1;1;"4";"C1QB"
"PABPC1";0,00215734765326562;-0,913626742719502;1;1;1;"4";"PABPC1"
"RPL31.1";0,00216219028279595;-0,588164123890323;1;1;1;"4";"RPL31"
"RPL12.1";0,00216703969388236;-0,878909987579347;1;1;1;"4";"RPL12"
"RPL9";0,00217675886941157;-0,679090162911594;1;1;1;"4";"RPL9"
"GPX1.1";0,00217675886941157;-0,903153494463345;1;1;1;"4";"GPX1"
"RPS12.1";0,00218162863818043;-0,452197084819023;1;1;1;"4";"RPS12"
"RPL36";0,00218162863818043;-0,753554204742467;1;1;1;"4";"RPL36"
"RPL30";0,00218162863818043;-0,941133473349484;1;1;1;"4";"RPL30"
"GPNMB.1";0,00218162863818043;-1,39785881460175;1;1;1;"4";"GPNMB"
"RPL23.1";0,00218650519715745;-0,588181567476631;1;1;1;"4";"RPL23"
"RPL35A";0,00218650519715745;-0,851936769317999;1;1;1;"4";"RPL35A"
"HLA-B.1";0,00218650519715745;-0,926586598478456;1;1;1;"4";"HLA-B"
"RPS6.1";0,00219138854848762;-0,46522013034605;1;1;1;"4";"RPS6"
"RPL39.1";0,00219138854848762;-0,953239998075522;1;1;1;"4";"RPL39"
"RPL37A.1";0,00219627869430871;-0,503023637750641;1;1;1;"4";"RPL37A"
"RPL5.1";0,00219627869430871;-0,825989093724814;1;1;1;"4";"RPL5"
"RPS29";0,00220117563675131;-0,431822560168277;1;1;1;"4";"RPS29"
"RPL8";0,00236457210361392;-1,37615233918682;1;1;1;"4";"RPL8"
"RPL4";0,00242281780119602;-0,84607969635213;1;1;1;"4";"RPL4"
"CTSB";0,0024281562941647;-0,843962506684655;1;1;1;"4";"CTSB"
"RPL22.1";0,00243885502240102;-0,885542039353169;1;1;1;"4";"RPL22"
"CTSZ";0,00243885502240102;-1,31634203242046;1;1;1;"4";"CTSZ"
"NBPF15";0,00248426318670516;-0,61840811484519;1;1;1;"4";"NBPF15"
"RPS21.1";0,00248735842785901;-0,635094935007283;1;1;1;"4";"RPS21"
"SLC35C2";0,00259224385290395;1,30353880027257;1;0,55;1;"4";"SLC35C2"
"ASAH1";0,00270106372188923;-1,35381944000969;1;1;1;"4";"ASAH1"
"RPL6.1";0,00275404078650379;-1,03779880453808;1;1;1;"4";"RPL6"
"RPS3";0,00275996579002504;-0,70123407759844;1;1;1;"4";"RPS3"
"MBP.1";0,00279567837782509;1,01355746810669;1;0,9;1;"4";"MBP"
"VIM.1";0,00279567837782509;-1,36727548344993;1;1;1;"4";"VIM"
"CTSD";0,00281964171130115;-1,39291099434026;1;1;1;"4";"CTSD"
"RPL34";0,00284372911411603;-0,41891306279585;1;1;1;"4";"RPL34"
"RPS20";0,00284372911411603;-0,693960048852798;1;1;1;"4";"RPS20"
"APOC1.1";0,00284372911411603;-1,01055983564248;1;1;1;"4";"APOC1"
"RPL14.1";0,00309997304506524;-0,85094301105338;1;1;1;"4";"RPL14"
"RPS27A";0,00319881780641588;-0,89292482558644;1;1;1;"4";"RPS27A"
"RPL27";0,00320547344039723;-0,694115470427363;1;1;1;"4";"RPL27"
"UVRAG";0,00334166725741655;1,27695939017077;1;0,5;1;"4";"UVRAG"
