"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"RPL14";6,44733931325522e-06;0,160356640085117;1;1;0,0273496133668286;"1";"RPL14"
"NAP1L1";7,68796822962552e-06;0,2139754172287;1;1;0,0326123612300714;"1";"NAP1L1"
"SAT1";1,07924970317834e-05;0,349828921740704;1;1;0,0457817724088253;"1";"SAT1"
"EIF2S3B";1,31379043291836e-05;0,406745878200764;1;0,96;0,0557309901643969;"1";"EIF2S3B"
"RPS3";1,50940597311254e-05;0,120502404167659;1;1;0,0640290013794338;"1";"RPS3"
"RPS13";1,7707379632491e-05;0,15545216214674;1;1;0,0751147044010269;"1";"RPS13"
"A2M";1,77554142965003e-05;0,198214450131858;1;1;0,0753184674457544;"1";"A2M"
"RPS12";1,93003773010494e-05;0,127197985017114;1;1;0,0818722005110517;"1";"RPS12"
"RPS14";2,09446964025709e-05;0,139882521182592;1;1;0,0888474021397056;"1";"RPS14"
"ADA2";2,41932404149369e-05;0,434574863533098;1;1;0,102627725840162;"1";"ADA2"
"EIF4B";2,44167682767076e-05;0,248266147993789;1;1;0,103575931029794;"1";"EIF4B"
"RPL7";2,88430715414484e-05;0,125709688873719;1;1;0,122352309478824;"1";"RPL7"
"HLA-DPA1";2,89921514024263e-05;0,167838299151203;1;1;0,122984706249093;"1";"HLA-DPA1"
"EEF1G";3,12115542275241e-05;0,163615420383955;1;1;0,132399413033157;"1";"EEF1G"
"RPL23";3,39361735743754e-05;0,113440268996165;1;1;0,143957248302501;"1";"RPL23"
"RPS27";3,67456559166643e-05;0,168991270535323;1;1;0,15587507239849;"1";"RPS27"
"HLA-DMA";3,93308818246057e-05;0,288194042300003;1;1;0,166841600699978;"1";"HLA-DMA"
"RPL27A";3,98742854482252e-05;0,151451848512428;1;1;0,169146718871371;"1";"RPL27A"
"RPS20";3,98742854482252e-05;0,130038981685153;1;1;0,169146718871371;"1";"RPS20"
"SNHG32";4,25638915556864e-05;0,363195012971981;1;1;0,180556027979222;"1";"SNHG32"
"RPS10";4,27752008897863e-05;0,150675324382702;1;1;0,181452402174474;"1";"RPS10"
"RPL7A";4,64451946795759e-05;0,124164093598432;1;1;0,197020515830761;"1";"RPL7A"
"HLA-DPB1";4,65591746334658e-05;0,25082804915212;1;1;0,197504018795162;"1";"HLA-DPB1"
"RPL35A";4,65591746334658e-05;0,150898567167921;1;1;0,197504018795162;"1";"RPL35A"
"EIF3L";5,19204740925111e-05;0,263524352365031;1;1;0,220246651100432;"1";"EIF3L"
"HLA-DRA";5,44310605554764e-05;0,242427752377413;1;1;0,230896558876331;"1";"HLA-DRA"
"RPL17";5,44310605554764e-05;0,168247117894663;1;1;0,230896558876331;"1";"RPL17"
"CHRNA1";6,17671131376125e-05;0,569281759978774;1;0,96;0,262016093929752;"1";"CHRNA1"
"RPS11";6,34026281164279e-05;0,133543589055922;1;1;0,268953948469887;"1";"RPS11"
"CD74";6,37035384356544e-05;0,125947175394079;1;1;0,270230410044046;"1";"CD74"
"EVI2B";7,18094959205105e-05;0,384250945499721;1;1;0,304615881694806;"1";"EVI2B"
"RPL19";7,96213437131069e-05;0,141215073318851;1;1;0,337753740030999;"1";"RPL19"
"RPL9";8,5620775891822e-05;0,117648905316489;1;1;0,363203331333109;"1";"RPL9"
"RPL36A";8,58170402753108e-05;0,119218470057581;1;1;0,364035884847868;"1";"RPL36A"
"RPL22";8,59153007819649e-05;0,154649638848567;1;1;0,364452705917095;"1";"RPL22"
"TLR7";9,78226176768214e-05;0,376816482200428;1;1;0,414963544185076;"1";"TLR7"
"NPM1";9,9155827146906e-05;0,257106324581428;1;1;0,420619018757175;"1";"NPM1"
"ASAH1";9,9939859266714e-05;0,279509543943623;1;1;0,423944883009401;"1";"ASAH1"
"PABPC1";0,00010061561376673;0,148567689085458;1;1;0,426811433598469;"1";"PABPC1"
