"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"FTH1";3,38439493466781e-05;0,231145128993105;1;1;0,111651188894691;"1";"FTH1"
"APOE";5,26571981205734e-05;0,627816372736744;1;1;0,173716096599772;"1";"APOE"
"CD68";0,000175218715482254;0,630458044611529;1;0,938;0,578046542375956;"1";"CD68"
"HLA-B";0,000192445076239583;0,475161940440256;1;1;0,634876306514386;"1";"HLA-B"
"RPL9";0,000207229251612621;0,521401753319934;1;0,938;0,683649301070038;"1";"RPL9"
"GPNMB";0,00023730262482058;1,17500428897002;0,917;0,562;0,782861359283093;"1";"GPNMB"
"RPL23";0,000403312090194926;0,500354141495066;1;1;1;"1";"RPL23"
"SYP";0,000409454611846623;-0,863803177071403;0,583;1;1;"1";"SYP"
"RPLP2";0,000473697891325529;0,498255947194546;1;1;1;"1";"RPLP2"
"RPL19";0,000534272811899893;0,548297360751046;1;1;1;"1";"RPL19"
"MAPKBP1";0,000672398577389357;0,234202821600703;1;1;1;"1";"MAPKBP1"
"TMA7";0,000741961763797295;0,436454356374051;1;1;1;"1";"TMA7"
"ITM2B";0,000897852652371723;0,452107153233433;1;1;1;"1";"ITM2B"
"APOC1";0,000961813388703501;0,96521240328918;1;0,75;1;"1";"APOC1"
"RPS25";0,000985649469758534;0,563428073897111;1;0,938;1;"1";"RPS25"
"CTSZ";0,00102131989932621;0,581059291100622;1;0,938;1;"1";"CTSZ"
"RPL32";0,00104695860674836;0,521333432709798;1;0,938;1;"1";"RPL32"
"RPL13";0,00115175995272721;0,485103818505656;1;1;1;"1";"RPL13"
"RPS27";0,00136049057949816;0,591249673223885;1;0,875;1;"1";"RPS27"
"RPS29";0,00140935897776971;0,5356034723048;1;0,875;1;"1";"RPS29"
"BRI3";0,00149677905666111;0,590533628504573;1;0,688;1;"1";"BRI3"
"C1QC";0,00152971865159434;0,585548039280414;1;0,875;1;"1";"C1QC"
"RPL41";0,00160830771681076;0,434376701928258;1;1;1;"1";"RPL41"
"SUPT7L";0,00171663576812353;0,105733844212107;1;1;1;"1";"SUPT7L"
"VSIG10";0,00189102796604042;-0,920831590051827;0,417;0,875;1;"1";"VSIG10"
"ASAH1";0,00234847984589173;0,795500130723534;0,917;0,688;1;"1";"ASAH1"
"TMSB10";0,00269169970273764;0,466388632362946;1;0,875;1;"1";"TMSB10"
"CTSB";0,00273704834097331;0,647782274177834;1;0,812;1;"1";"CTSB"
"PTBP1";0,00275041675593937;0,0565100907181204;1;1;1;"1";"PTBP1"
"CTSD";0,00288351788820892;0,491007937266715;1;0,938;1;"1";"CTSD"
"RPL8";0,00401253048140199;0,495085969684952;1;0,938;1;"1";"RPL8"
"RPL39";0,00419687714344141;0,532402035450819;1;0,875;1;"1";"RPL39"
"RPS12";0,00423954340703384;0,568243824835202;1;0,812;1;"1";"RPS12"
"IFI30";0,00444349998664087;0,798855533580905;0,917;0,562;1;"1";"IFI30"
"RPL31";0,00463734635189256;0,453527756410755;1;0,938;1;"1";"RPL31"
"RPS18";0,00476715061079762;0,427472293771417;1;0,875;1;"1";"RPS18"
"RPL21";0,00482036927458689;0,422944592088696;1;0,875;1;"1";"RPL21"
