"","ST31_CWM","ST32_CWM","ST33_PL_active","ST33_RIM_active","ST33_active","ST34_NAWM","ST34_low_nr_counts","ST37_low_nr_counts","ST37_NAWM","ST38_NAWM","ST67_chronic","ST67_RIM_chronic","ST67_PL_chronic","ST68_PL_chronic","ST68_RIM_chronic","ST68_chronic","ST69_PL_active","ST69_active","ST69_RIM_active","ST70_PL_active","ST70_RIM_active","ST70_active","ST71_PL_chronic","ST71_RIM_chronic","ST71_chronic","ST71_GM","ST72_chronic","ST72_RIM_chronic","ST72_PL_chronic","ST73_PL_chronic","ST73_RIM_chronic","ST73_GM","ST73_chronic","ST74_PL_chronic","ST74_RIM_chronic","ST74_chronic","ST79_GM","ST79_PL_active","ST79_active","ST79_RIM_active"
"MIR1302-2HG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL627309.1",4,3,2,1,0,4,0,0,4,2,3,1,0,4,0,0,1,3,0,1,3,0,6,3,3,1,1,2,2,0,0,1,0,4,2,0,3,3,0,1
"AL627309.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL627309.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL627309.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL732372.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC114498.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
