"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"EWSR1",-0.516686417730742,6.59596545792546,-6.38340332079975,1.10624204487996e-06,0.0106171839276472,-4.87173192240734
"CD44",2.60997433917266,8.04749842964745,7.77500082062599,1.59128035041122e-06,0.0106171839276472,4.79941716322385
"ST7",1.03851902543118,3.79546587571115,6.08800476438966,2.31236969821143e-06,0.0106171839276472,4.72401181826165
"ABCA1",2.80469649714595,5.9401862517679,6.12640051588627,2.58058793890678e-06,0.0106171839276472,4.70165694973779
"VIM",3.56146462471579,10.2318732415639,6.7846601724057,5.15760823600841e-06,0.0159812009536624,4.55827253764128
"UGCG",1.48635380748062,5.15544818553909,5.94217887442698,6.97072236848552e-06,0.0159812009536624,4.49458051915686
"LINC01877",-2.87363929729018,1.4866651296156,-5.57723986677217,1.00165508600126e-05,0.0159812009536624,-4.41681582072091
"MAN1C1",2.07750081737046,6.01441036332449,5.84343802476919,1.04861634734959e-05,0.0159812009536624,4.40689779878107
"ANXA1",4.00692829777201,6.99748526766074,5.66664997020313,1.17952112238927e-05,0.0159812009536624,4.38133913548046
"RFTN1",3.23313338800815,4.79058684477183,5.76413726470233,1.24055223817955e-05,0.0159812009536624,4.37033648228078
"ABI1",0.768226680024721,6.27955929665139,5.67403926807141,1.35383333795391e-05,0.0159812009536624,4.35121804756343
"TMEM98",-1.35861923029853,6.0129332352481,-5.89102610967217,1.39421108340583e-05,0.0159812009536624,-4.3447708756287
"ABCC3",5.46307591278516,1.70626894505195,5.58021050637194,1.41020795045029e-05,0.0159812009536624,4.34226577269365
"LY6H",3.65178078487656,5.99354949306537,6.69495259584167,1.46502347845913e-05,0.0159812009536624,4.33388256213464
"LGALS3",3.03755021759011,7.06611202333116,5.4621677116894,1.54287652606455e-05,0.0159812009536624,4.32247631242619
"ELMOD3",-0.918145684657799,3.58362854304603,-5.5046608616422,1.77401016219021e-05,0.0159812009536624,-4.29158656823032
"UGP2",0.601075588226712,6.64748121419876,5.25936556453247,1.90777955644952e-05,0.0159812009536624,4.27541923264278
"MAFB",3.43610105205555,5.86360217220582,5.33741084494759,1.96901587364433e-05,0.0159812009536624,4.26837559727496
"DUOXA1",-2.38169699904052,0.101621193247898,-5.23210281519851,2.04661554761043e-05,0.0159812009536624,-4.25974358315406
"SLC45A4",2.48156312390197,2.11804830466464,5.69186709609698,2.20918093238736e-05,0.0159812009536624,4.24262735990149
"B4GALT1",1.83521971501188,4.05058917115343,5.15592069508393,2.49099508589827e-05,0.0159812009536624,4.21561400797414
"ACTN1",2.96472895966646,5.49520241939479,5.30833839538575,2.51874182173563e-05,0.0159812009536624,4.21311370706225
"TMEM164",1.3641459571271,3.30524180382345,5.14412247636791,2.56802642558849e-05,0.0159812009536624,4.20873650643135
"ANO5",1.59796231506332,3.33799859182669,5.11854652333219,2.74334930114073e-05,0.0159812009536624,4.19378755066682
"COMMD2",-0.663009626063959,4.75669909226564,-5.11699751020486,2.75434674317502e-05,0.0159812009536624,-4.19288040030433
"PLCE1",2.24615493332872,4.28219092196176,5.11556537045945,2.76455389563541e-05,0.0159812009536624,4.19204151514608
"PARVA",1.63719897971707,4.66114153790547,5.30674520895214,2.80503503318518e-05,0.0159812009536624,4.18874327603777
"AC012313.1",-2.63686088966254,0.71078627862368,-5.29289119245787,2.87974007856784e-05,0.0159812009536624,-4.18277369917447
"MAOB",3.16970245108387,7.53823043003587,7.73488483529901,2.96088817717909e-05,0.0159812009536624,4.17645382098154
