"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"EWSR1",-0.644949901248775,6.59596545792546,-7.85441324009669,3.27884489966852e-08,0.000539599505138449,-5.5258551948286
"ANO4",-2.01310044795905,3.36597296412483,-6.38309477196195,1.10708898426496e-06,0.00910968170702424,-4.87158074899146
"DUOX1",-1.91913360287348,1.15880739976817,-5.79081569557311,4.89746494519987e-06,0.0235534906317804,-4.56913276111628
"CLEC9A",-5.39475265670424,0.574921746368156,-6.17081066646412,5.72485644571438e-06,0.0235534906317804,-4.53630429106234
"CD44",2.2662308566013,8.04749842964745,6.63820847663093,1.05148338890593e-05,0.0298991568878016,4.40630611521027
"TLE1",1.17486480507246,5.0518435428051,5.47717599696816,1.09008289072619e-05,0.0298991568878016,4.39848673286321
"ST7",0.895681196680291,3.79546587571115,5.32966830223014,1.59198028136011e-05,0.0332724155898426,4.31556107387237
"UGP2",0.601484876990782,6.64748121419876,5.25757842668626,1.91658262586601e-05,0.0332724155898426,4.27439353001018
"ANXA1",3.86487548165446,6.99748526766074,5.44320250932844,2.12334385679802e-05,0.0332724155898426,4.25150962226168
"SLC35D2",-1.12119661268768,4.38875855481296,-5.67797541211562,2.67837644896525e-05,0.0332724155898426,-4.19921860914615
"ARHGEF6",1.15255033447656,5.95275714717534,5.10615677845557,2.83256398993258e-05,0.0332724155898426,4.18652608072698
"PARVA",1.65967572034931,4.66114153790547,5.42108608600681,2.93553300170689e-05,0.0332724155898426,4.17841063203832
"SNRNP40",-0.946514811510087,4.42658903360425,-5.08307316911445,3.00664347799242e-05,0.0332724155898426,-4.17296257231021
"FUS",-0.617666851725006,7.0528399139177,-5.68568793964884,3.01296537256383e-05,0.0332724155898426,-4.17248417091677
"ADAMTSL4",2.18583299896176,1.29802253049076,5.07962454541556,3.03355902848413e-05,0.0332724155898426,4.17093236054319
"EMP1",2.9059109550771,5.95658557454407,5.14784749984946,3.23484626260851e-05,0.0332724155898426,4.15627062343744
"TNFRSF11B",3.03844102548073,2.54009889425303,5.26288404660591,4.09476679516341e-05,0.0383410466409903,4.10206642181026
"MRPL19",-0.992757383793288,4.91101354421488,-4.9544334971589,4.19358837903522e-05,0.0383410466409903,-4.09654674615278
"GPC4",1.36982639850131,4.31834012171779,5.33960653912834,5.02212824643058e-05,0.0407492706767374,4.05459479163302
"AL049839.2",3.90680688854458,3.69396140362327,5.23811846673583,5.33410161621957e-05,0.0407492706767374,4.04048394768453
"CCDC28A",1.02204026756867,5.04741186220047,5.39028672828321,5.48550601344072e-05,0.0407492706767374,4.03391546082692
"VIM",2.90056294385148,10.2318732415639,5.469518834388,5.68218798394885e-05,0.0407492706767374,4.02563454397703
"ABCC3",4.91979874963641,1.70626894505195,5.0183100041434,5.69504299425752e-05,0.0407492706767374,4.02510280585587
"RFTN1",2.9308402753648,4.79058684477183,5.10762152386939,6.73934328625345e-05,0.0419134385567639,3.98530524892555
"GLIS3",2.7739726654638,4.45359049934231,5.19765158574683,6.99777051913746e-05,0.0419134385567639,3.97636156243426
"CDC14A",2.1004200413317,2.83074177098482,4.75669919323427,6.99975404578542e-05,0.0419134385567639,3.97629413249413
"COPS5",-0.705139370711726,5.78190821176852,-4.75370149664356,7.05436778194585e-05,0.0419134385567639,-3.97444460533549
"MAGEH1",-0.861602492952775,5.94919466049987,-6.34412331576292,7.35913872694683e-05,0.0419134385567639,-3.96436562195726
"PDE1C",-1.26954424651516,6.25947650093276,-5.15144469538737,7.38585233120346e-05,0.0419134385567639,-3.96350109930234
"TMEM98",-1.22091077760763,6.0129332352481,-5.16225876034524,7.98318051026415e-05,0.0428747680989654,-3.94490444909371
"FLNA",2.1611865540356,6.71362205252836,5.24118953850837,8.07630680602738e-05,0.0428747680989654,3.94212439387929
"MED4",-0.367428833290675,5.47170033241107,-4.66225958034363,8.94196688744372e-05,0.0459868590833317,-3.91764120077035
"PDCL",-0.589106335097984,4.41624233844466,-5.4816261839458,9.60927284399689e-05,0.0461743920182674,-3.90025171385411
"PIEZO1",1.19469955068613,4.44510978379101,4.7278031523758,9.65526052741144e-05,0.0461743920182674,3.89909571330926
"HKDC1",3.19312019366213,0.155351380179963,6.02401003577383,9.84417915731027e-05,0.0461743920182674,3.89440073908898
"MAOB",2.67458493188547,7.53823043003587,6.32418593750356,0.000101007359339954,0.0461743920182674,3.88815922451752
"ANO5",1.39075772517509,3.33799859182669,4.57620400111227,0.000111775540379401,0.047336483678157,3.86349640218384
"AKAP12",1.81160780980784,5.40098547923999,4.70759336967424,0.000112399489593231,0.047336483678157,3.86213702698036
