gene,module
CNP,mOLGs
MBP,mOLGs
PLP1,mOLGs
MOBP,mOLGs
MAG,mOLGs
BCAN,OPCs
SOX6,OPCs
PTPRZ1,OPCs
TNS3,OPCs
VCAN,OPCs
FBLN2,fibroblasts
CEMIP,fibroblasts
FBLN1,fibroblasts
COL1A1,fibroblasts
COL1A2,fibroblasts
COL3A1,fibroblasts
ANPEP,vasculature
RGS5,vasculature
CNN1,vasculature
ICAM2,vasculature
PDGFRB,vasculature
ACTA2,vasculature
MYH11,vasculature
CLDN5,vasculature
TIE1,vasculature
CLU,AIMS
VIM,AIMS
FTL,AIMS
CST3,AIMS
GFAP,AIMS
APOE,AIMS
ACTG1,AIMS
ACTB,AIMS
FTH1,AIMS
GAPDH,AIMS
MT-ND1,mitochondrial
MT-ND2,mitochondrial
MT-CO1,mitochondrial
MT-CO2,mitochondrial
MT-ATP8,mitochondrial
MT-ATP6,mitochondrial
MT-CO3,mitochondrial
MT-ND3,mitochondrial
MT-ND4L,mitochondrial
MT-ND4,mitochondrial
MT-ND5,mitochondrial
MT-ND6,mitochondrial
MT-CYB,mitochondrial
RGCC,Hs7_phago_mg
LGALS1,Hs7_phago_mg
GPNMB,Hs7_phago_mg
CD9,Hs7_phago_mg
LGALS3,Hs7_phago_mg
ANXA2,Hs7_phago_mg
SPP1,Hs7_phago_mg
NUPR1,Hs7_phago_mg
S100A6,Hs7_phago_mg
CD44,WM_astrocytes
SLC38A1,WM_astrocytes
ALDH1L1,WM_astrocytes
AQP4,WM_astrocytes
JCHAIN,plasma_cells_spl
IGHG1,plasma_cells_spl
IGHG3,plasma_cells_spl
IGHG2,plasma_cells_spl
IGHGP,plasma_cells_spl
TNFRSF17,plasma_cells_spl
IGKC,plasma_cells_spl
IGLC3,plasma_cells_spl
IGHG4,plasma_cells_spl
IGHA2,plasma_cells_spl
IGHM,plasma_cells_spl
IGLC7,plasma_cells_spl
MZB1,plasma_cells_spl
OOEP,MIMS-iron
PLEKHA7,MIMS-iron
RPS23,MIMS-iron
RPL32,MIMS-iron
RPS27A,MIMS-iron
RPL14,MIMS-iron
RPS6,MIMS-iron
RPS25,MIMS-iron
TMSB10,MIMS-iron
RPL11,MIMS-iron
GPNMB,MIMS-foamy
CPM,MIMS-foamy
MAFB,MIMS-foamy
NPL,MIMS-foamy
NHSL1,MIMS-foamy
MITF,MIMS-foamy
ATG7,MIMS-foamy
DIRC3,MIMS-foamy
LPL,MIMS-foamy
KCNMA1,MIMS-foamy
CCL5,Inflamed_Bloodvessels
FBLN1,Inflamed_Bloodvessels
HLA-B,Inflamed_Bloodvessels
B2M,Inflamed_Bloodvessels
IGKC,Inflamed_Bloodvessels
DCN,Inflamed_Bloodvessels
CEMIP,Inflamed_Bloodvessels
RPL3,Inflamed_Bloodvessels
IGHG1,Inflamed_Bloodvessels
COL1A2,Inflamed_Bloodvessels
CYP1B1,Inflamed_Bloodvessels
ITM2A,Inflamed_Bloodvessels
